x,rho
0.001,3.8571349946881166
0.003,3.857135000639514
0.005,3.8571350065877916
0.007,3.85713501253295
0.009000000000000001,3.8571350184749917
0.011,3.8571350244139158
0.013000000000000001,3.85713503034973
0.015,3.8571350362824366
0.017,3.857135042212042
0.019000000000000003,3.857135048138534
0.021,3.8571350540619087
0.023,3.8571350599821503
0.025,3.857135065899248
0.027000000000000003,3.8571350718132025
0.029,3.85713507772402
0.031,3.8571350836317
0.033,3.8571350895362357
0.035,3.857135095437627
0.037000000000000005,3.857135101335867
0.039,3.8571351072309574
0.041,3.8571351131228973
0.043000000000000003,3.857135119011687
0.045,3.8571351248973342
0.047,3.8571351307798487
0.049,3.8571351366592244
0.051000000000000004,3.857135142535458
0.053000000000000005,3.857135148408554
0.055,3.857135154278508
0.057,3.8571351601453263
0.059000000000000004,3.857135166009012
0.061,3.857135171869569
0.063,3.857135177726999
0.065,3.8571351835813013
0.067,3.8571351894324732
0.069,3.8571351952805126
0.07100000000000001,3.85713520112542
0.07300000000000001,3.857135206967198
0.075,3.8571352128058467
0.077,3.8571352186413708
0.079,3.857135224473762
0.081,3.8571352303030237
0.083,3.857135236129157
0.085,3.857135241952152
0.08700000000000001,3.857135247772005
0.089,3.857135253588719
0.091,3.8571352594022894
0.093,3.8571352652127238
0.095,3.8571352710200215
0.097,3.8571352768241813
0.099,3.8571352826252103
0.101,3.857135288423106
0.10300000000000001,3.8571352942178705
0.10500000000000001,3.857135300009499
0.107,3.857135305797988
0.109,3.857135311583337
0.111,3.857135317365543
0.113,3.857135323144609
0.115,3.857135328920542
0.117,3.8571353346933517
0.11900000000000001,3.857135340463039
0.121,3.8571353462296165
0.123,3.857135351993089
0.125,3.857135357753466
0.127,3.8571353635107486
0.129,3.8571353692649404
0.131,3.8571353750160564
0.133,3.8571353807641153
0.135,3.8571353865091123
0.137,3.857135392251051
0.139,3.857135397989938
0.14100000000000001,3.857135403725771
0.14300000000000002,3.857135409458547
0.14500000000000002,3.8571354151882673
0.147,3.8571354209149322
0.149,3.8571354266385263
0.151,3.8571354323590517
0.153,3.8571354380765057
0.155,3.85713544379089
0.157,3.857135449502204
0.159,3.857135455210457
0.161,3.8571354609156536
0.163,3.857135466617798
0.165,3.8571354723168856
0.167,3.8571354780129194
0.169,3.8571354837058993
0.171,3.857135489395817
0.17300000000000001,3.8571354950826673
0.17500000000000002,3.85713550076645
0.177,3.85713550644717
0.179,3.857135512124831
0.181,3.8571355177994477
0.183,3.8571355234710265
0.185,3.8571355291395744
0.187,3.85713553480509
0.189,3.8571355404675867
0.191,3.857135546127058
0.193,3.8571355517835033
0.195,3.8571355574369175
0.197,3.857135563087306
0.199,3.8571355687346642
0.201,3.857135574378988
0.203,3.8571355800202767
0.20500000000000002,3.857135585658526
0.20700000000000002,3.857135591293735
0.20900000000000002,3.8571355969258883
0.211,3.857135602554988
0.213,3.8571356081810286
0.215,3.8571356138040063
0.217,3.85713561942392
0.219,3.857135625040767
0.221,3.8571356306545503
0.223,3.8571356362652716
0.225,3.8571356418729326
0.227,3.857135647477532
0.229,3.857135653079078
0.231,3.857135658677566
0.233,3.857135664272992
0.23500000000000001,3.857135669865358
0.23700000000000002,3.857135675454664
0.23900000000000002,3.857135681040926
0.241,3.857135686624144
0.243,3.857135692204316
0.245,3.857135697781446
0.247,3.857135703355535
0.249,3.857135708926583
0.251,3.857135714494596
0.253,3.8571357200595813
0.255,3.857135725621541
0.257,3.8571357311804797
0.259,3.8571357367363976
0.261,3.8571357422892945
0.263,3.8571357478391786
0.265,3.8571357533860477
0.267,3.8571357589299
0.269,3.857135764470732
0.271,3.8571357700085476
0.273,3.8571357755433495
0.275,3.8571357810751326
0.277,3.8571357866038967
0.279,3.857135792129641
0.281,3.8571357976523686
0.28300000000000003,3.8571358031720777
0.28500000000000003,3.8571358086887755
0.28700000000000003,3.857135814202459
0.28900000000000003,3.8571358197131356
0.291,3.857135825220807
0.293,3.857135830725477
0.295,3.8571358362271453
0.297,3.8571358417258153
0.299,3.8571358472214867
0.301,3.857135852714171
0.303,3.8571358582038684
0.305,3.8571358636905777
0.307,3.8571358691743023
0.309,3.857135874655066
0.311,3.857135880132871
0.313,3.857135885607718
0.315,3.8571358910796048
0.317,3.857135896548535
0.319,3.8571359020144977
0.321,3.857135907477494
0.323,3.8571359129375185
0.325,3.8571359183945684
0.327,3.8571359238486527
0.329,3.857135929299778
0.331,3.8571359347479426
0.333,3.857135940193148
0.335,3.857135945635403
0.337,3.8571359510747047
0.339,3.857135956511057
0.341,3.8571359619444654
0.343,3.8571359673749366
0.34500000000000003,3.85713597280248
0.34700000000000003,3.857135978227108
0.34900000000000003,3.857135983648824
0.35100000000000003,3.85713598906764
0.353,3.8571359944835524
0.355,3.8571359998965575
0.357,3.85713600530666
0.359,3.8571360107138575
0.361,3.8571360161181545
0.363,3.857136021519549
0.365,3.8571360269180417
0.367,3.8571360323136354
0.369,3.8571360377063324
0.371,3.8571360430961215
0.373,3.857136048483009
0.375,3.8571360538669883
0.377,3.857136059248056
0.379,3.8571360646262076
0.381,3.857136070001445
0.383,3.85713607537376
0.385,3.8571360807431527
0.387,3.857136086109619
0.389,3.857136091473162
0.391,3.8571360968337784
0.393,3.8571361021914696
0.395,3.8571361075462374
0.397,3.8571361128980857
0.399,3.857136118247015
0.401,3.8571361235930355
0.403,3.857136128936144
0.405,3.8571361342763484
0.40700000000000003,3.8571361396136403
0.40900000000000003,3.857136144948019
0.41100000000000003,3.8571361502794903
0.41300000000000003,3.8571361556080572
0.41500000000000004,3.8571361609337096
0.41700000000000004,3.857136166256445
0.419,3.857136171576275
0.421,3.8571361768931904
0.423,3.85713618220719
0.425,3.8571361875182695
0.427,3.8571361928264243
0.429,3.857136198131652
0.431,3.857136203433958
0.433,3.8571362087333436
0.435,3.8571362140298064
0.437,3.8571362193233454
0.439,3.8571362246139635
0.441,3.8571362299016605
0.443,3.857136235186442
0.445,3.857136240468309
0.447,3.857136245747253
0.449,3.8571362510232774
0.451,3.8571362562963736
0.453,3.8571362615665357
0.455,3.857136266833752
0.457,3.8571362720980216
0.459,3.857136277359339
0.461,3.857136282617707
0.463,3.8571362878731255
0.465,3.857136293125587
0.467,3.857136298375096
0.46900000000000003,3.8571363036216497
0.47100000000000003,3.857136308865256
0.47300000000000003,3.8571363141059187
0.47500000000000003,3.8571363193436405
0.47700000000000004,3.8571363245784194
0.47900000000000004,3.857136329810254
0.481,3.857136335039146
0.483,3.8571363402650984
0.485,3.8571363454881014
0.487,3.857136350708149
0.489,3.8571363559252347
0.491,3.8571363611393648
0.493,3.8571363663505296
0.495,3.8571363715587346
0.497,3.8571363767639837
0.499,3.8571363819662703
0.501,3.8571363871655913
0.503,3.8571363923619493
0.505,3.8571363975553514
0.507,3.857136402745802
0.509,3.8571364079333095
0.511,3.8571364131178854
0.513,3.8571364182995347
0.515,3.8571364234782646
0.517,3.8571364286540732
0.519,3.857136433826962
0.521,3.857136438996936
0.523,3.857136444164002
0.525,3.85713644932817
0.527,3.8571364544894355
